vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
1983784,452240,42.0,7.0,0,-1497.0,inf
1983964,452240,42.0,7.0,0,-1497.0,inf
289071,51261,200.0,28.0,0,-1497.0,inf
7353392,2703194,42.0,7.0,0,-1497.0,inf
7353391,2703194,42.0,7.0,0,-1497.0,inf
260496,32323,84.0,14.0,0,-1497.0,inf
2029831,459880,100.0,14.0,0,-1497.0,inf
2029832,459880,100.0,14.0,0,-1497.0,inf
2029833,459880,100.0,14.0,0,-1497.0,inf
2029834,459880,100.0,14.0,0,-1497.0,inf
5813395,1937247,11.0,3.0,0,-1497.0,inf
6897022,2460756,42.0,7.0,0,-1497.0,inf
6897021,2460756,42.0,7.0,0,-1497.0,inf
113245,22224,11.0,3.0,0,-1497.0,inf
1595332,260899,100.0,14.0,0,-1497.0,42.65699289366603
1595345,260908,42.0,7.0,0,-1497.0,inf
6192546,2037426,42.0,7.0,0,-1497.0,inf
6192545,2037426,42.0,7.0,0,-1497.0,inf
1937046,429331,100.0,14.0,0,-1497.0,76.83786193281412
113204,22189,11.0,3.0,0,-1497.0,inf
9543,3400,100.0,14.0,0,-1497.0,89.2227535881102
2532922,663225,11.0,3.0,0,-1497.0,inf
2532925,663227,30.0,7.0,0,-1497.0,inf
5182113,1547340,100.0,14.0,0,-1497.0,42.16441248822957
5225896,1553827,42.0,7.0,0,-1497.0,inf
7235327,2655740,42.0,7.0,0,-1497.0,inf
5921433,1954741,84.0,14.0,0,-1497.0,inf
5921377,1954702,84.0,14.0,0,-1497.0,inf
6997438,2469958,42.0,7.0,0,-1497.0,inf
6997444,2469963,42.0,7.0,0,-1497.0,inf
6997506,2469958,42.0,7.0,0,-1497.0,inf
5921376,1954702,84.0,14.0,0,-1497.0,inf
6989768,2468694,42.0,7.0,0,-1497.0,inf
2014581,457937,84.0,14.0,0,-1497.0,inf
1740146,306931,42.0,7.0,0,-1497.0,inf
1740147,306931,42.0,7.0,0,-1497.0,inf
5921375,1954702,84.0,14.0,0,-1497.0,inf
6989782,2468707,100.0,14.0,0,-1497.0,0.4441612847149372
6989784,2468709,42.0,7.0,0,-1497.0,inf
6078939,2013045,42.0,7.0,0,-1497.0,inf
97119,20378,42.0,7.0,0,-1497.0,inf
5182118,1547345,200.0,28.0,0,-1421.2340277777985,inf
6861478,2438773,11.0,3.0,0,-1420.8458796297198,inf
5154159,1537039,42.0,7.0,0,-1419.1407175925565,inf
5154160,1537039,42.0,7.0,0,-1419.1407175925565,inf
1595353,260848,168.0,28.0,0,-1408.2309722220525,inf
6862216,2438852,42.0,7.0,0,-1407.301828703843,inf
5882729,1945396,200.0,28.0,0,-1405.3481828705408,inf
7009052,2471705,42.0,7.0,0,-1388.699560184963,inf
2030314,459942,42.0,7.0,0,-1374.0196180557832,inf
2030311,459942,42.0,7.0,0,-1374.0196180557832,inf
2030312,459942,42.0,7.0,0,-1374.0196180557832,inf
2030313,459942,42.0,7.0,0,-1374.0196180557832,inf
6823118,2417190,200.0,28.0,0,-1365.1492592594584,inf
1624271,269643,800.0,112.0,0,-1358.2156250001865,inf
2030575,459987,200.0,28.0,0,-1358.161840277724,inf
2030576,459987,200.0,28.0,0,-1358.161840277724,inf
2030578,459987,200.0,28.0,0,-1358.161840277724,inf
2030577,459987,200.0,28.0,0,-1358.161840277724,inf
1683088,299193,336.0,56.0,0,-1356.8476388887502,inf
1683091,299193,336.0,56.0,0,-1356.8476388887502,inf
1683092,299193,800.0,112.0,0,-1356.8476388887502,inf
1683093,299193,800.0,112.0,0,-1356.8476388887502,inf
1683097,299193,800.0,112.0,0,-1356.8476388887502,inf
1683094,299193,800.0,112.0,0,-1356.8476388887502,inf
1683077,299193,336.0,56.0,0,-1356.8476388887502,inf
1683089,299193,336.0,56.0,0,-1356.8476388887502,inf
