vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
113198,22184,84.0,14.0,0,-1497.0,inf
113251,22229,800.0,224.0,0,-1497.0,inf
361178,77235,84.0,14.0,0,-1497.0,38.95768968760967
1595251,260849,42.0,7.0,0,-1497.0,inf
1658901,294384,42.0,7.0,0,-1497.0,inf
1683048,299315,42.0,7.0,0,-1497.0,inf
2029862,459885,42.0,7.0,0,-1497.0,49.54851368069649
2465263,640020,42.0,7.0,0,-1497.0,inf
2532896,663202,168.0,28.0,0,-1497.0,inf
2532952,663247,42.0,7.0,0,-1497.0,inf
4339325,1233065,42.0,7.0,0,-1497.0,inf
5124676,1532007,100.0,14.0,0,-1497.0,inf
5124684,1532012,11.0,3.0,0,-1497.0,inf
5168363,1542041,42.0,7.0,0,-1497.0,77.7910335646011
5168364,1542041,42.0,7.0,0,-1497.0,inf
5168418,1542089,30.0,7.0,0,-1497.0,inf
5168432,1542100,84.0,14.0,0,-1497.0,inf
5225927,1553847,42.0,7.0,0,-1497.0,inf
5813338,1937206,30.0,7.0,0,-1497.0,inf
5921310,1954663,30.0,7.0,0,-1497.0,inf
5921371,1954699,11.0,3.0,0,-1497.0,17.31561226863414
6622396,2249616,30.0,7.0,0,-1497.0,inf
6981113,2467649,42.0,7.0,0,-1497.0,inf
6989776,2468702,42.0,7.0,0,-1497.0,inf
6997483,2469990,168.0,28.0,0,-1497.0,inf
7009001,2471663,42.0,7.0,0,-1497.0,inf
7009015,2471676,42.0,7.0,0,-1497.0,inf
7235271,2655695,42.0,7.0,0,-1497.0,inf
7235299,2655718,200.0,28.0,0,-1497.0,inf
7353384,2703190,42.0,7.0,0,-1497.0,32.89899177104235
2030013,459906,400.0,112.0,0,-1437.1033912035637,inf
6981163,2467686,400.0,112.0,0,-1437.0289699072018,inf
2030094,459912,800.0,224.0,0,-1416.2861574073322,24.213570532388985
10972,3578,100.0,14.0,0,-1413.2212384259328,inf
2014594,457947,168.0,28.0,0,-1401.8946643518284,inf
2030146,459906,400.0,112.0,0,-1401.249305555597,65.57409026613459
2030147,459906,400.0,112.0,0,-1401.249305555597,inf
6622415,2249627,400.0,56.0,0,-1399.1802546298131,inf
1658915,294394,336.0,56.0,0,-1395.066018518526,inf
1658927,294394,336.0,56.0,0,-1395.066018518526,inf
6079003,2013098,42.0,7.0,0,-1387.61944444431,inf
1984021,452340,42.0,7.0,0,-1387.1769097223878,inf
2030219,459924,42.0,7.0,0,-1383.5294560184702,inf
7009058,2471709,400.0,56.0,0,-1377.9705439815298,49.810456979088485
2030297,459906,800.0,224.0,0,-1376.494537036866,inf
2465379,640108,84.0,14.0,0,-1372.9293055557646,inf
1937063,429347,800.0,112.0,0,-1371.729004629422,inf
2030540,459980,400.0,56.0,0,-1358.8754282407463,inf
2030552,459981,42.0,7.0,0,-1358.6218750001863,inf
2512470,646703,100.0,14.0,0,-1357.4026620369405,inf
5921496,1954768,336.0,56.0,0,-1356.9067708333023,inf
2030656,460001,100.0,14.0,0,-1355.9143171296455,inf
6279576,2062293,11.0,3.0,0,-1340.1031018518843,22.702611030079424
361244,77275,42.0,7.0,0,-1332.3546296297573,46.545330208260566
2030904,460044,42.0,7.0,0,-1330.1980092590675,inf
2030920,460046,84.0,14.0,0,-1328.9726041667163,inf
2014607,457956,42.0,7.0,0,-1321.1762962965295,inf
2030996,459889,42.0,7.0,0,-1320.2787268520333,inf
1816211,339568,200.0,28.0,0,-1307.654814814683,inf
7235344,2655755,400.0,112.0,0,-1299.9458796298131,inf
2031141,460057,100.0,14.0,0,-1295.0428356481716,inf
2031151,460078,168.0,28.0,0,-1294.3521180553362,inf
5813428,1937267,30.0,7.0,0,-1293.0932986112311,inf
7009088,2471710,84.0,14.0,0,-1292.2721180557273,inf
7235345,2655674,42.0,7.0,0,-1291.287118055392,inf
6192654,2037487,100.0,14.0,0,-1289.5861921296455,inf
6823134,2417205,100.0,14.0,0,-1288.0949074071832,inf
1683168,299361,42.0,7.0,0,-1288.0520949074998,inf
2465411,640029,336.0,224.0,0,-1283.448773148004,inf
2031330,460089,2400.0,672.0,0,-1282.0591435185634,inf
2031476,460089,2400.0,672.0,0,-1282.0591435185634,inf
5813433,1937203,11.0,3.0,0,-1280.3075810186565,14.835457916837186
2031578,460100,400.0,56.0,0,-1272.9792824075557,inf
2031590,460101,42.0,7.0,0,-1272.836574073881,inf
1984062,452304,42.0,7.0,0,-1267.9108912036754,inf
289133,51298,120.0,28.0,0,-1261.9552777777426,inf
5497031,1654420,42.0,7.0,0,-1253.969479166437,inf
337559,60996,42.0,7.0,0,-1253.9480324075557,inf
337582,61018,84.0,14.0,0,-1253.8983564814553,inf
3545331,1042614,168.0,28.0,0,-1253.6822916665114,inf
337685,61116,42.0,7.0,0,-1253.0167939816602,inf
337789,61192,11.0,3.0,0,-1252.2001041667536,inf
5497224,1654593,42.0,7.0,0,-1251.8700347221456,inf
5497262,1654606,84.0,14.0,0,-1251.3871759260073,inf
2031658,460110,42.0,7.0,0,-1250.853368055541,17.029686180409044
6862198,2438842,42.0,7.0,0,-1249.8159837964922,inf
6997582,2470065,30.0,7.0,0,-1247.9842129629105,inf
1937079,429363,200.0,28.0,0,-1244.3246296294965,inf
7009116,2471750,200.0,28.0,0,-1234.2554166666232,49.810361828655005
122518,23809,84.0,14.0,0,-1232.9824074073695,inf
2512532,646754,200.0,56.0,0,-1230.130497685168,inf
5226037,1553926,42.0,7.0,0,-1229.666516203899,inf
5888651,1946638,42.0,7.0,0,-1224.5993634257466,inf
122633,23836,200.0,28.0,0,-1219.3082175925374,inf
5168494,1542140,42.0,7.0,0,-1218.9365972219966,inf
122710,23855,800.0,112.0,0,-1213.0239930553362,inf
1816229,339554,400.0,112.0,0,-1210.060694444459,inf
3546375,1042762,42.0,7.0,0,-1209.89630787028,inf
2031772,460124,42.0,7.0,0,-1208.7891782405786,19.85941401636228
2014617,457966,84.0,14.0,0,-1206.1563888890669,inf
2031787,460125,42.0,7.0,0,-1205.1508217593655,inf
122778,23873,84.0,14.0,0,-1204.9406597223133,inf
122784,23875,84.0,14.0,0,-1204.5597800924443,1.966823113616556
1937093,429376,200.0,16.0,0,-1201.1479050926864,inf
6279647,2062338,42.0,7.0,0,-1198.303483796306,inf
122998,23919,42.0,7.0,0,-1187.9317013886757,inf
5226057,1553866,42.0,7.0,0,-1184.1861342592165,inf
2031973,460144,2400.0,672.0,0,-1182.1660879631527,inf
2031998,460144,2400.0,672.0,0,-1182.1660763886757,inf
2032107,460144,2400.0,672.0,0,-1182.1660648146644,inf
2032162,460144,2400.0,672.0,0,-1182.1660532406531,inf
2032350,460162,42.0,7.0,0,-1176.9432638888247,inf
2443787,633093,84.0,14.0,0,-1175.9315162035637,6.962901377119124
2032438,460179,30.0,7.0,0,-1171.1801736112684,inf
5829081,1939150,42.0,7.0,0,-1170.9748958335258,inf
5921612,1954826,800.0,224.0,0,-1161.9729513889179,inf
2032706,460198,2400.0,672.0,0,-1157.220138888806,inf
2032794,460198,2400.0,672.0,0,-1157.2201273147948,inf
2032870,460198,2400.0,672.0,0,-1157.2201041667722,inf
123163,23954,800.0,112.0,0,-1156.816342592705,inf
1740226,306993,42.0,7.0,0,-1155.2799884257838,inf
123217,23954,400.0,56.0,0,-1154.7219212963246,inf
123260,23968,42.0,7.0,0,-1143.1549884257838,inf
6862583,2439016,100.0,14.0,0,-1140.8418634259142,inf
289194,51334,42.0,7.0,0,-1133.91748842597,inf
2033157,460205,2400.0,672.0,0,-1132.9593518520705,inf
2033269,460205,2400.0,672.0,0,-1132.9593518520705,inf
123357,23991,2000.0,560.0,0,-1132.1339351851493,inf
5888669,1946770,200.0,28.0,0,-1132.0025925925002,inf
88073,11856,16.0,112.0,0,-1129.0981712965295,inf
289205,51343,42.0,7.0,0,-1113.7835532408208,4.864181782584637
97218,20448,100.0,14.0,0,-1113.2327314815484,inf
3560171,1046461,400.0,56.0,0,-1107.2840393516235,inf
1740237,306955,200.0,56.0,0,-1098.3874305556528,inf
1740244,307015,400.0,56.0,0,-1097.0126041667536,14.833622071892023
5829192,1939062,400.0,56.0,0,-1091.2656365740113,inf
5497327,1654627,100.0,14.0,0,-1090.0312731480226,inf
3604941,1070550,16.0,112.0,0,-1077.067395833321,inf
5168505,1542148,11.0,3.0,0,-1071.1022106483579,inf
123504,24008,2400.0,672.0,0,-1069.0385185186751,inf
123558,24008,2400.0,672.0,0,-1069.0385185186751,inf
123596,24008,2400.0,672.0,0,-1069.0385185186751,inf
123987,24009,2400.0,672.0,0,-1069.0195833332837,inf
123988,24009,2400.0,672.0,0,-1069.0195833332837,inf
123991,24009,2400.0,672.0,0,-1069.0195833332837,inf
124025,24009,2400.0,672.0,0,-1069.0195833332837,inf
4339459,1233148,200.0,28.0,0,-1064.7075000000186,inf
289229,51243,2000.0,560.0,0,-1060.0655324072577,inf
1292024,231765,100.0,14.0,0,-1058.3353240741417,inf
5124903,1531972,400.0,56.0,0,-1055.8384143519215,inf
1954341,442412,200.0,28.0,0,-1047.879062499851,inf
2033738,460233,2400.0,672.0,0,-1045.229837962892,inf
2033841,460233,2400.0,672.0,0,-1045.229837962892,inf
2033939,460233,2400.0,672.0,0,-1045.229837962892,inf
2034027,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034032,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034246,460104,84.0,14.0,0,-1043.1799537036568,inf
1984107,452389,100.0,14.0,0,-1037.3196527776308,inf
2034283,460144,2400.0,672.0,0,-1031.8367361109704,inf
